ids,covariate,adjustvars
x1_Y.HSC_1,Y_HSC,2
x6_Y.HSC_2,Y_HSC,2
x13_A.HSC_1,A_HSC,2
x18_A.HSC_2_new,A_HSC,2
x2_Y.MPP1_1,Y_MPP1,2
x7_Y.MPP1_2,Y_MPP1,2
x14_A.MPP1_1,A_MPP1,2
x19_A.MPP1_2_new,A_MPP1,2
x3_Y.MPP2_1,Y_MPP2,2
x8_Y.MPP2_2,Y_MPP2,2
x15_A.MPP2_1,A_MPP2,2
x20_A.MPP2_2_new,A_MPP2,2
x4_Y.MPP3_1,Y_MPP3,2
x9_Y.MPP3_2,Y_MPP3,2
x16_A.MPP3_1_new,A_MPP3,2
x21_A.MPP3_2_new,A_MPP3,2
x5_Y.MPP4_1,Y_MPP4,2
x10_Y.MPP4_2,Y_MPP4,2
x17_A.MPP4_1_new,A_MPP4,2
x22_A.MPP4_2_new,A_MPP4,2
x25_Y.GMP_1,Y_GMP,2
x31_Y.GMP_2,Y_GMP,2
x28_A.GMP_1,A_GMP,2
x34_A.GMP_2,A_GMP,2
x26_Y.MEP_1,Y_MEP,2
x32_Y.MEP_2_new,Y_MEP,2
x29_A.MEP_1,A_MEP,2
x35_A.MEP_2_new,A_MEP,2
x27_Y.CLP_1,Y_CLP,2
x33_Y.CLP_2_new,Y_CLP,2
x30_A.CLP_1,A_CLP,2
x36_A.CLP_2_new,A_CLP,2
