Gene Name	Reference	Strand	Start	End	Y-HSC_1	Y-HSC_2	A-HSC_1	A-HSC_2	Y-MPP1_1	Y-MPP1_2	A-MPP1_1	A-MPP1_2	Y-MPP2_1	Y-MPP2_2	A-MPP2_1	A-MPP2_2	Y-MPP3_1	Y-MPP3_2	A-MPP3_1	A-MPP3_2	Y-MPP4_1	Y-MPP4_2	A-MPP4_1	A-MPP4_2	
Zzz3	chr3	+	152396003	152462826	8.92081	8.494444	9.15831	6.602002	12.096813	11.535946	11.524518	11.334978	11.687858	11.315851	11.259441	11.185866	10.687849	11.31535	9.909847	11.017334	11.718679	10.602371	9.682748	10.637042	
Zzef1	chr11	+	72796226	72927120	3.451921	3.631595	3.475899	2.72627	4.516904	3.594691	3.428787	3.792871	5.160208	4.235635	3.962468	4.067084	3.695634	2.768031	3.71178	2.465631	4.047156	2.708505	3.099572	2.53307	
Zyx	chr6	+	42349828	42360213	182.720428	163.204681	117.321404	144.365356	169.275009	172.083008	120.019402	116.779839	155.538406	169.011795	111.16391	114.231674	181.56485	193.003082	117.892784	118.198105	220.634583	213.923401	141.178085	144.289459	
Zyg11b	chr4	-	108227755	108301090	5.141957	3.585423	3.888822	2.427403	5.24403	5.096213	4.258568	4.706471	5.011807	5.035272	4.508579	3.865755	4.987855	4.186266	4.696222	4.610166	4.34714	3.94746	4.272421	3.430948	
Zyg11a	chr4	-	108181934	108217922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zxdc	chr6	+	90369494	90403486	22.119146	21.634472	16.488527	18.472206	19.138361	17.473871	13.881195	14.31032	14.578697	16.163834	10.833394	10.820529	14.378701	15.600986	10.816251	9.838057	15.958843	13.745791	10.397649	11.041611	
Zxdb	chrX	+	94724569	94730191	5.821416	5.781765	4.534326	4.254509	6.143778	5.469485	4.126996	3.860653	4.713222	4.501137	2.728234	3.266441	5.031467	2.652279	3.392589	1.917961	5.499862	2.784914	3.495404	1.887686	
Zxda	chrX	-	94791285	94798289	5.175054	4.779754	3.405555	3.531302	4.411028	4.500688	3.093322	3.174278	3.772806	3.551965	2.332919	2.59942	3.888567	1.829391	2.540359	1.402373	4.500787	2.19091	2.708083	1.332615	
Zwint	chr10	+	72654846	72674964	69.869873	65.020714	67.540565	72.491913	78.213715	73.468636	85.034515	85.178604	78.878288	80.503288	87.342392	87.469292	72.722244	75.188652	81.624977	85.352043	75.451424	79.224457	72.950188	76.265419	
Zwilch	chr9	-	64137144	64172931	0.785559	1.062783	1.918924	1.413016	4.705408	4.02752	7.87709	6.550212	9.400614	8.75309	10.252603	10.775513	6.024448	5.575546	8.767033	8.964495	7.328559	7.056776	8.547814	8.857854	
